state,country,date,deaths
Fujian,China,2/11/20,0
Fujian,China,2/12/20,0
Fujian,China,2/13/20,0
Fujian,China,2/14/20,0
Fujian,China,2/15/20,0
Fujian,China,2/16/20,0
Fujian,China,2/17/20,0
Fujian,China,2/18/20,0
Fujian,China,2/19/20,0
Fujian,China,2/20/20,1
Fujian,China,2/21/20,1
Fujian,China,2/22/20,1
Fujian,China,2/23/20,1
Fujian,China,2/24/20,1
Fujian,China,2/25/20,1
Fujian,China,2/26/20,1
Fujian,China,2/27/20,1
Fujian,China,2/28/20,1
Fujian,China,2/29/20,1
Fujian,China,3/1/20,1
Fujian,China,3/2/20,1
Fujian,China,3/3/20,1
Fujian,China,3/4/20,1
Fujian,China,3/5/20,1
Fujian,China,3/6/20,1
Fujian,China,3/7/20,1
Fujian,China,3/8/20,1
Fujian,China,3/9/20,1
Fujian,China,3/10/20,1
Fujian,China,3/11/20,1
Fujian,China,3/12/20,1
Fujian,China,3/13/20,1
Fujian,China,3/14/20,1
Fujian,China,3/15/20,1
Fujian,China,3/16/20,1
Fujian,China,3/17/20,1
Fujian,China,3/18/20,1
Fujian,China,3/19/20,1
Fujian,China,3/20/20,1
Fujian,China,3/21/20,1
Fujian,China,3/22/20,1
Fujian,China,3/23/20,1
Fujian,China,3/24/20,1
Fujian,China,3/25/20,1
Fujian,China,3/26/20,1
Fujian,China,3/27/20,1
Fujian,China,3/28/20,1
Fujian,China,3/29/20,1
Fujian,China,3/30/20,1
Fujian,China,3/31/20,1
Fujian,China,4/1/20,1
Fujian,China,4/2/20,1
Fujian,China,4/3/20,1
Fujian,China,4/4/20,1
Fujian,China,4/5/20,1
Fujian,China,4/6/20,1
Fujian,China,4/7/20,1
Fujian,China,4/8/20,1
Fujian,China,4/9/20,1
Fujian,China,4/10/20,1
Fujian,China,4/11/20,1
Fujian,China,4/12/20,1
Fujian,China,4/13/20,1
Fujian,China,4/14/20,1
Fujian,China,4/15/20,1
Fujian,China,4/16/20,1
Fujian,China,4/17/20,1
Fujian,China,4/18/20,1
Fujian,China,4/19/20,1
Fujian,China,4/20/20,1
Fujian,China,4/21/20,1
Fujian,China,4/22/20,1
Fujian,China,4/23/20,1
Fujian,China,4/24/20,1
Fujian,China,4/25/20,1
Fujian,China,4/26/20,1
Fujian,China,4/27/20,1
Fujian,China,4/28/20,1
Fujian,China,4/29/20,1
Fujian,China,4/30/20,1
Fujian,China,5/1/20,1
Fujian,China,5/2/20,1
Fujian,China,5/3/20,1
Fujian,China,5/4/20,1
Fujian,China,5/5/20,1
Fujian,China,5/6/20,1
Fujian,China,5/7/20,1
Fujian,China,5/8/20,1
Fujian,China,5/9/20,1
Fujian,China,5/10/20,1
Fujian,China,5/11/20,1
Fujian,China,5/12/20,1
Fujian,China,5/13/20,1
Fujian,China,5/14/20,1
Fujian,China,5/15/20,1
Fujian,China,5/16/20,1
Fujian,China,5/17/20,1
Fujian,China,5/18/20,1
Fujian,China,5/19/20,1
Fujian,China,5/20/20,1
Fujian,China,5/21/20,1
Fujian,China,5/22/20,1
Fujian,China,5/23/20,1
Fujian,China,5/24/20,1
Fujian,China,5/25/20,1
Fujian,China,5/26/20,1
Fujian,China,5/27/20,1
Fujian,China,5/28/20,1
Fujian,China,5/29/20,1
Fujian,China,5/30/20,1
Fujian,China,5/31/20,1
Fujian,China,6/1/20,1
Fujian,China,6/2/20,1
Fujian,China,6/3/20,1
Fujian,China,6/4/20,1
Fujian,China,6/5/20,1
Fujian,China,6/6/20,1
Fujian,China,6/7/20,1
Fujian,China,6/8/20,1
Fujian,China,6/9/20,1
Fujian,China,6/10/20,1
Fujian,China,6/11/20,1
Fujian,China,6/12/20,1
Fujian,China,6/13/20,1
Fujian,China,6/14/20,1
Fujian,China,6/15/20,1
Fujian,China,6/16/20,1
Fujian,China,6/17/20,1
Fujian,China,6/18/20,1
Fujian,China,6/19/20,1
Fujian,China,6/20/20,1
Fujian,China,6/21/20,1
Fujian,China,6/22/20,1
Fujian,China,6/23/20,1
Fujian,China,6/24/20,1
Fujian,China,6/25/20,1
Fujian,China,6/26/20,1
Fujian,China,6/27/20,1
Fujian,China,6/28/20,1
Fujian,China,6/29/20,1
Fujian,China,6/30/20,1
Fujian,China,7/1/20,1
Fujian,China,7/2/20,1
Fujian,China,7/3/20,1
Fujian,China,7/4/20,1
Fujian,China,7/5/20,1
Fujian,China,7/6/20,1
Fujian,China,7/7/20,1
Fujian,China,7/8/20,1
Fujian,China,7/9/20,1
Fujian,China,7/10/20,1
Fujian,China,7/11/20,1
Fujian,China,7/12/20,1
Fujian,China,7/13/20,1
Fujian,China,7/14/20,1
Fujian,China,7/15/20,1
Fujian,China,7/16/20,1
Gansu,China,1/22/20,0
Gansu,China,1/23/20,0
Gansu,China,1/24/20,0
Gansu,China,1/25/20,0
Gansu,China,1/26/20,0
Gansu,China,1/27/20,0
Gansu,China,1/28/20,0
Gansu,China,1/29/20,0
Gansu,China,1/30/20,0
Gansu,China,1/31/20,0
Gansu,China,2/1/20,0
Gansu,China,2/2/20,0
Gansu,China,2/3/20,0
Gansu,China,2/4/20,0
Gansu,China,2/5/20,0
Gansu,China,2/6/20,0
Gansu,China,2/7/20,0
Gansu,China,2/8/20,1
Gansu,China,2/9/20,2
Gansu,China,2/10/20,2
Gansu,China,2/11/20,2
Gansu,China,2/12/20,2
Gansu,China,2/13/20,2
Gansu,China,2/14/20,2
Gansu,China,2/15/20,2
Gansu,China,2/16/20,2
Gansu,China,2/17/20,2
Gansu,China,2/18/20,2
Gansu,China,2/19/20,2
Gansu,China,2/20/20,2
Gansu,China,2/21/20,2
Gansu,China,2/22/20,2
Gansu,China,2/23/20,2
Gansu,China,2/24/20,2
Gansu,China,2/25/20,2
Gansu,China,2/26/20,2
Gansu,China,2/27/20,2
Gansu,China,2/28/20,2
Gansu,China,2/29/20,2
Gansu,China,3/1/20,2
Gansu,China,3/2/20,2
Gansu,China,3/3/20,2
Gansu,China,3/4/20,2
Gansu,China,3/5/20,2
Gansu,China,3/6/20,2
Gansu,China,3/7/20,2
Gansu,China,3/8/20,2
Gansu,China,3/9/20,2
Gansu,China,3/10/20,2
Gansu,China,3/11/20,2
Gansu,China,3/12/20,2
Gansu,China,3/13/20,2
Gansu,China,3/14/20,2
Gansu,China,3/15/20,2
Gansu,China,3/16/20,2
Gansu,China,3/17/20,2
Gansu,China,3/18/20,2
Gansu,China,3/19/20,2
Gansu,China,3/20/20,2
Gansu,China,3/21/20,2
Gansu,China,3/22/20,2
Gansu,China,3/23/20,2
Gansu,China,3/24/20,2
Gansu,China,3/25/20,2
Gansu,China,3/26/20,2
Gansu,China,3/27/20,2
Gansu,China,3/28/20,2
Gansu,China,3/29/20,2
Gansu,China,3/30/20,2
Gansu,China,3/31/20,2
Gansu,China,4/1/20,2
Gansu,China,4/2/20,2
Gansu,China,4/3/20,2
Gansu,China,4/4/20,2
Gansu,China,4/5/20,2
Gansu,China,4/6/20,2
Gansu,China,4/7/20,2
Gansu,China,4/8/20,2
Gansu,China,4/9/20,2
Gansu,China,4/10/20,2
Gansu,China,4/11/20,2
Gansu,China,4/12/20,2
Gansu,China,4/13/20,2
Gansu,China,4/14/20,2
Gansu,China,4/15/20,2
Gansu,China,4/16/20,2
Gansu,China,4/17/20,2
Gansu,China,4/18/20,2
Gansu,China,4/19/20,2
Gansu,China,4/20/20,2
Gansu,China,4/21/20,2
Gansu,China,4/22/20,2
Gansu,China,4/23/20,2
Gansu,China,4/24/20,2
Gansu,China,4/25/20,2
Gansu,China,4/26/20,2
Gansu,China,4/27/20,2
Gansu,China,4/28/20,2
Gansu,China,4/29/20,2
Gansu,China,4/30/20,2
Gansu,China,5/1/20,2
Gansu,China,5/2/20,2
Gansu,China,5/3/20,2
Gansu,China,5/4/20,2
Gansu,China,5/5/20,2
Gansu,China,5/6/20,2
Gansu,China,5/7/20,2
Gansu,China,5/8/20,2
Gansu,China,5/9/20,2
Gansu,China,5/10/20,2
Gansu,China,5/11/20,2
Gansu,China,5/12/20,2
Gansu,China,5/13/20,2
Gansu,China,5/14/20,2
Gansu,China,5/15/20,2
Gansu,China,5/16/20,2
Gansu,China,5/17/20,2
Gansu,China,5/18/20,2
Gansu,China,5/19/20,2
Gansu,China,5/20/20,2
Gansu,China,5/21/20,2
Gansu,China,5/22/20,2
Gansu,China,5/23/20,2
Gansu,China,5/24/20,2
Gansu,China,5/25/20,2
Gansu,China,5/26/20,2
Gansu,China,5/27/20,2
Gansu,China,5/28/20,2
Gansu,China,5/29/20,2
Gansu,China,5/30/20,2
Gansu,China,5/31/20,2
Gansu,China,6/1/20,2
Gansu,China,6/2/20,2
Gansu,China,6/3/20,2
Gansu,China,6/4/20,2
Gansu,China,6/5/20,2
Gansu,China,6/6/20,2
Gansu,China,6/7/20,2
Gansu,China,6/8/20,2
Gansu,China,6/9/20,2
Gansu,China,6/10/20,2
Gansu,China,6/11/20,2
Gansu,China,6/12/20,2
Gansu,China,6/13/20,2
Gansu,China,6/14/20,2
Gansu,China,6/15/20,2
Gansu,China,6/16/20,2
Gansu,China,6/17/20,2
Gansu,China,6/18/20,2
Gansu,China,6/19/20,2
Gansu,China,6/20/20,2
Gansu,China,6/21/20,2
Gansu,China,6/22/20,2
Gansu,China,6/23/20,2
Gansu,China,6/24/20,2
Gansu,China,6/25/20,2
Gansu,China,6/26/20,2
Gansu,China,6/27/20,2
Gansu,China,6/28/20,2
Gansu,China,6/29/20,2
Gansu,China,6/30/20,2
Gansu,China,7/1/20,2
Gansu,China,7/2/20,2
Gansu,China,7/3/20,2
Gansu,China,7/4/20,2
Gansu,China,7/5/20,2
Gansu,China,7/6/20,2
Gansu,China,7/7/20,2
Gansu,China,7/8/20,2
Gansu,China,7/9/20,2
Gansu,China,7/10/20,2
Gansu,China,7/11/20,2
Gansu,China,7/12/20,2
Gansu,China,7/13/20,2
Gansu,China,7/14/20,2
Gansu,China,7/15/20,2
Gansu,China,7/16/20,2
Guangdong,China,1/22/20,0
Guangdong,China,1/23/20,0
Guangdong,China,1/24/20,0
Guangdong,China,1/25/20,0
Guangdong,China,1/26/20,0
Guangdong,China,1/27/20,0
Guangdong,China,1/28/20,0
Guangdong,China,1/29/20,0
Guangdong,China,1/30/20,0
Guangdong,China,1/31/20,0
Guangdong,China,2/1/20,0
Guangdong,China,2/2/20,0
Guangdong,China,2/3/20,0
Guangdong,China,2/4/20,0
Guangdong,China,2/5/20,0
Guangdong,China,2/6/20,0
Guangdong,China,2/7/20,1
Guangdong,China,2/8/20,1
Guangdong,China,2/9/20,1
Guangdong,China,2/10/20,1
Guangdong,China,2/11/20,1
Guangdong,China,2/12/20,1
Guangdong,China,2/13/20,2
Guangdong,China,2/14/20,2
Guangdong,China,2/15/20,2
Guangdong,China,2/16/20,2
Guangdong,China,2/17/20,4
Guangdong,China,2/18/20,4
Guangdong,China,2/19/20,5
Guangdong,China,2/20/20,5
Guangdong,China,2/21/20,5
Guangdong,China,2/22/20,5
Guangdong,China,2/23/20,6
Guangdong,China,2/24/20,6
Guangdong,China,2/25/20,7
Guangdong,China,2/26/20,7
Guangdong,China,2/27/20,7
Guangdong,China,2/28/20,7
Guangdong,China,2/29/20,7
Guangdong,China,3/1/20,7
Guangdong,China,3/2/20,7
Guangdong,China,3/3/20,7
Guangdong,China,3/4/20,7
Guangdong,China,3/5/20,7
Guangdong,China,3/6/20,7
Guangdong,China,3/7/20,7
Guangdong,China,3/8/20,7
Guangdong,China,3/9/20,8
Guangdong,China,3/10/20,8
Guangdong,China,3/11/20,8
Guangdong,China,3/12/20,8
Guangdong,China,3/13/20,8
Guangdong,China,3/14/20,8
Guangdong,China,3/15/20,8
Guangdong,China,3/16/20,8
Guangdong,China,3/17/20,8
Guangdong,China,3/18/20,8
Guangdong,China,3/19/20,8
Guangdong,China,3/20/20,8
Guangdong,China,3/21/20,8
Guangdong,China,3/22/20,8
Guangdong,China,3/23/20,8
Guangdong,China,3/24/20,8
Guangdong,China,3/25/20,8
Guangdong,China,3/26/20,8
Guangdong,China,3/27/20,8
Guangdong,China,3/28/20,8
Guangdong,China,3/29/20,8
Guangdong,China,3/30/20,8
Guangdong,China,3/31/20,8
Guangdong,China,4/1/20,8
Guangdong,China,4/2/20,8
Guangdong,China,4/3/20,8
Guangdong,China,4/4/20,8
Guangdong,China,4/5/20,8
Guangdong,China,4/6/20,8
Guangdong,China,4/7/20,8
Guangdong,China,4/8/20,8
Guangdong,China,4/9/20,8
Guangdong,China,4/10/20,8
Guangdong,China,4/11/20,8
Guangdong,China,4/12/20,8
Guangdong,China,4/13/20,8
Guangdong,China,4/14/20,8
Guangdong,China,4/15/20,8
Guangdong,China,4/16/20,8
Guangdong,China,4/17/20,8
Guangdong,China,4/18/20,8
Guangdong,China,4/19/20,8
Guangdong,China,4/20/20,8
Guangdong,China,4/21/20,8
Guangdong,China,4/22/20,8
Guangdong,China,4/23/20,8
Guangdong,China,4/24/20,8
Guangdong,China,4/25/20,8
Guangdong,China,4/26/20,8
Guangdong,China,4/27/20,8
Guangdong,China,4/28/20,8
Guangdong,China,4/29/20,8
Guangdong,China,4/30/20,8
Guangdong,China,5/1/20,8
Guangdong,China,5/2/20,8
Guangdong,China,5/3/20,8
Guangdong,China,5/4/20,8
Guangdong,China,5/5/20,8
Guangdong,China,5/6/20,8
Guangdong,China,5/7/20,8
Guangdong,China,5/8/20,8
Guangdong,China,5/9/20,8
Guangdong,China,5/10/20,8
Guangdong,China,5/11/20,8
Guangdong,China,5/12/20,8
Guangdong,China,5/13/20,8
Guangdong,China,5/14/20,8
Guangdong,China,5/15/20,8
Guangdong,China,5/16/20,8
Guangdong,China,5/17/20,8
Guangdong,China,5/18/20,8
Guangdong,China,5/19/20,8
Guangdong,China,5/20/20,8
Guangdong,China,5/21/20,8
Guangdong,China,5/22/20,8
Guangdong,China,5/23/20,8
Guangdong,China,5/24/20,8
Guangdong,China,5/25/20,8
Guangdong,China,5/26/20,8
Guangdong,China,5/27/20,8
Guangdong,China,5/28/20,8
Guangdong,China,5/29/20,8
Guangdong,China,5/30/20,8
Guangdong,China,5/31/20,8
Guangdong,China,6/1/20,8
Guangdong,China,6/2/20,8
Guangdong,China,6/3/20,8
Guangdong,China,6/4/20,8
Guangdong,China,6/5/20,8
Guangdong,China,6/6/20,8
Guangdong,China,6/7/20,8
Guangdong,China,6/8/20,8
Guangdong,China,6/9/20,8
Guangdong,China,6/10/20,8
Guangdong,China,6/11/20,8
Guangdong,China,6/12/20,8
Guangdong,China,6/13/20,8
Guangdong,China,6/14/20,8
Guangdong,China,6/15/20,8
Guangdong,China,6/16/20,8
Guangdong,China,6/17/20,8
Guangdong,China,6/18/20,8
Guangdong,China,6/19/20,8
Guangdong,China,6/20/20,8
Guangdong,China,6/21/20,8
Guangdong,China,6/22/20,8
Guangdong,China,6/23/20,8
Guangdong,China,6/24/20,8
Guangdong,China,6/25/20,8
Guangdong,China,6/26/20,8
Guangdong,China,6/27/20,8
Guangdong,China,6/28/20,8
Guangdong,China,6/29/20,8
Guangdong,China,6/30/20,8
Guangdong,China,7/1/20,8
Guangdong,China,7/2/20,8
Guangdong,China,7/3/20,8
Guangdong,China,7/4/20,8
Guangdong,China,7/5/20,8
Guangdong,China,7/6/20,8
Guangdong,China,7/7/20,8
Guangdong,China,7/8/20,8
Guangdong,China,7/9/20,8
Guangdong,China,7/10/20,8
Guangdong,China,7/11/20,8
Guangdong,China,7/12/20,8
Guangdong,China,7/13/20,8
Guangdong,China,7/14/20,8
Guangdong,China,7/15/20,8
Guangdong,China,7/16/20,8
Guangxi,China,1/22/20,0
Guangxi,China,1/23/20,0
Guangxi,China,1/24/20,0
Guangxi,China,1/25/20,0
Guangxi,China,1/26/20,0
Guangxi,China,1/27/20,0
Guangxi,China,1/28/20,0
Guangxi,China,1/29/20,0
Guangxi,China,1/30/20,0
Guangxi,China,1/31/20,0
Guangxi,China,2/1/20,0
Guangxi,China,2/2/20,0
Guangxi,China,2/3/20,0
Guangxi,China,2/4/20,0
Guangxi,China,2/5/20,0
Guangxi,China,2/6/20,0
Guangxi,China,2/7/20,0
Guangxi,China,2/8/20,0
Guangxi,China,2/9/20,1
Guangxi,China,2/10/20,1
Guangxi,China,2/11/20,1
Guangxi,China,2/12/20,1
Guangxi,China,2/13/20,2
Guangxi,China,2/14/20,2
Guangxi,China,2/15/20,2
Guangxi,China,2/16/20,2
Guangxi,China,2/17/20,2
Guangxi,China,2/18/20,2
Guangxi,China,2/19/20,2
Guangxi,China,2/20/20,2
Guangxi,China,2/21/20,2
Guangxi,China,2/22/20,2
Guangxi,China,2/23/20,2
Guangxi,China,2/24/20,2
Guangxi,China,2/25/20,2
Guangxi,China,2/26/20,2
Guangxi,China,2/27/20,2
Guangxi,China,2/28/20,2
Guangxi,China,2/29/20,2
Guangxi,China,3/1/20,2
Guangxi,China,3/2/20,2
Guangxi,China,3/3/20,2
Guangxi,China,3/4/20,2
Guangxi,China,3/5/20,2
Guangxi,China,3/6/20,2
Guangxi,China,3/7/20,2
Guangxi,China,3/8/20,2
Guangxi,China,3/9/20,2
Guangxi,China,3/10/20,2
Guangxi,China,3/11/20,2
Guangxi,China,3/12/20,2
Guangxi,China,3/13/20,2
Guangxi,China,3/14/20,2
Guangxi,China,3/15/20,2
Guangxi,China,3/16/20,2
Guangxi,China,3/17/20,2
Guangxi,China,3/18/20,2
Guangxi,China,3/19/20,2
Guangxi,China,3/20/20,2
Guangxi,China,3/21/20,2
Guangxi,China,3/22/20,2
Guangxi,China,3/23/20,2
Guangxi,China,3/24/20,2
Guangxi,China,3/25/20,2
Guangxi,China,3/26/20,2
Guangxi,China,3/27/20,2
Guangxi,China,3/28/20,2
Guangxi,China,3/29/20,2
Guangxi,China,3/30/20,2
Guangxi,China,3/31/20,2
Guangxi,China,4/1/20,2
Guangxi,China,4/2/20,2
Guangxi,China,4/3/20,2
Guangxi,China,4/4/20,2
Guangxi,China,4/5/20,2
Guangxi,China,4/6/20,2
Guangxi,China,4/7/20,2
Guangxi,China,4/8/20,2
Guangxi,China,4/9/20,2
Guangxi,China,4/10/20,2
Guangxi,China,4/11/20,2
Guangxi,China,4/12/20,2
Guangxi,China,4/13/20,2
Guangxi,China,4/14/20,2
Guangxi,China,4/15/20,2
Guangxi,China,4/16/20,2
Guangxi,China,4/17/20,2
Guangxi,China,4/18/20,2
Guangxi,China,4/19/20,2
Guangxi,China,4/20/20,2
Guangxi,China,4/21/20,2
Guangxi,China,4/22/20,2
Guangxi,China,4/23/20,2
Guangxi,China,4/24/20,2
Guangxi,China,4/25/20,2
Guangxi,China,4/26/20,2
Guangxi,China,4/27/20,2
Guangxi,China,4/28/20,2
Guangxi,China,4/29/20,2
Guangxi,China,4/30/20,2
Guangxi,China,5/1/20,2
Guangxi,China,5/2/20,2
Guangxi,China,5/3/20,2
Guangxi,China,5/4/20,2
Guangxi,China,5/5/20,2
Guangxi,China,5/6/20,2
Guangxi,China,5/7/20,2
Guangxi,China,5/8/20,2
Guangxi,China,5/9/20,2
Guangxi,China,5/10/20,2
Guangxi,China,5/11/20,2
Guangxi,China,5/12/20,2
Guangxi,China,5/13/20,2
Guangxi,China,5/14/20,2
Guangxi,China,5/15/20,2
Guangxi,China,5/16/20,2
Guangxi,China,5/17/20,2
Guangxi,China,5/18/20,2
Guangxi,China,5/19/20,2
Guangxi,China,5/20/20,2
Guangxi,China,5/21/20,2
Guangxi,China,5/22/20,2
Guangxi,China,5/23/20,2
Guangxi,China,5/24/20,2
Guangxi,China,5/25/20,2
Guangxi,China,5/26/20,2
Guangxi,China,5/27/20,2
Guangxi,China,5/28/20,2
Guangxi,China,5/29/20,2
Guangxi,China,5/30/20,2
Guangxi,China,5/31/20,2
Guangxi,China,6/1/20,2
Guangxi,China,6/2/20,2
Guangxi,China,6/3/20,2
Guangxi,China,6/4/20,2
Guangxi,China,6/5/20,2
Guangxi,China,6/6/20,2
Guangxi,China,6/7/20,2
Guangxi,China,6/8/20,2
Guangxi,China,6/9/20,2
Guangxi,China,6/10/20,2
Guangxi,China,6/11/20,2
Guangxi,China,6/12/20,2
Guangxi,China,6/13/20,2
Guangxi,China,6/14/20,2
Guangxi,China,6/15/20,2
Guangxi,China,6/16/20,2
Guangxi,China,6/17/20,2
Guangxi,China,6/18/20,2
Guangxi,China,6/19/20,2
Guangxi,China,6/20/20,2
Guangxi,China,6/21/20,2
Guangxi,China,6/22/20,2
Guangxi,China,6/23/20,2
Guangxi,China,6/24/20,2
Guangxi,China,6/25/20,2
Guangxi,China,6/26/20,2
Guangxi,China,6/27/20,2
Guangxi,China,6/28/20,2
Guangxi,China,6/29/20,2
Guangxi,China,6/30/20,2
Guangxi,China,7/1/20,2
Guangxi,China,7/2/20,2
Guangxi,China,7/3/20,2
Guangxi,China,7/4/20,2
Guangxi,China,7/5/20,2
Guangxi,China,7/6/20,2
Guangxi,China,7/7/20,2
Guangxi,China,7/8/20,2
Guangxi,China,7/9/20,2
Guangxi,China,7/10/20,2
Guangxi,China,7/11/20,2
Guangxi,China,7/12/20,2
Guangxi,China,7/13/20,2
Guangxi,China,7/14/20,2
Guangxi,China,7/15/20,2
Guangxi,China,7/16/20,2
Guizhou,China,1/22/20,0
Guizhou,China,1/23/20,0
Guizhou,China,1/24/20,0
Guizhou,China,1/25/20,0
Guizhou,China,1/26/20,0
Guizhou,China,1/27/20,0
Guizhou,China,1/28/20,0
Guizhou,China,1/29/20,0
Guizhou,China,1/30/20,0
Guizhou,China,1/31/20,0
Guizhou,China,2/1/20,0
Guizhou,China,2/2/20,0
Guizhou,China,2/3/20,0
Guizhou,China,2/4/20,0
Guizhou,China,2/5/20,1
Guizhou,China,2/6/20,1
Guizhou,China,2/7/20,1
Guizhou,China,2/8/20,1
Guizhou,China,2/9/20,1
Guizhou,China,2/10/20,1
Guizhou,China,2/11/20,1
Guizhou,China,2/12/20,1
Guizhou,China,2/13/20,1
Guizhou,China,2/14/20,1
Guizhou,China,2/15/20,1
Guizhou,China,2/16/20,1
Guizhou,China,2/17/20,1
Guizhou,China,2/18/20,2
Guizhou,China,2/19/20,2
Guizhou,China,2/20/20,2
Guizhou,China,2/21/20,2
Guizhou,China,2/22/20,2
Guizhou,China,2/23/20,2
Guizhou,China,2/24/20,2
Guizhou,China,2/25/20,2
Guizhou,China,2/26/20,2
Guizhou,China,2/27/20,2
Guizhou,China,2/28/20,2
Guizhou,China,2/29/20,2
Guizhou,China,3/1/20,2
Guizhou,China,3/2/20,2
Guizhou,China,3/3/20,2
Guizhou,China,3/4/20,2
Guizhou,China,3/5/20,2
Guizhou,China,3/6/20,2
Guizhou,China,3/7/20,2
Guizhou,China,3/8/20,2
Guizhou,China,3/9/20,2
Guizhou,China,3/10/20,2
Guizhou,China,3/11/20,2
Guizhou,China,3/12/20,2
Guizhou,China,3/13/20,2
Guizhou,China,3/14/20,2
Guizhou,China,3/15/20,2
Guizhou,China,3/16/20,2
Guizhou,China,3/17/20,2
Guizhou,China,3/18/20,2
Guizhou,China,3/19/20,2
Guizhou,China,3/20/20,2
Guizhou,China,3/21/20,2
Guizhou,China,3/22/20,2
Guizhou,China,3/23/20,2
Guizhou,China,3/24/20,2
Guizhou,China,3/25/20,2
Guizhou,China,3/26/20,2
Guizhou,China,3/27/20,2
Guizhou,China,3/28/20,2
Guizhou,China,3/29/20,2
Guizhou,China,3/30/20,2
Guizhou,China,3/31/20,2
Guizhou,China,4/1/20,2
Guizhou,China,4/2/20,2
Guizhou,China,4/3/20,2
Guizhou,China,4/4/20,2
Guizhou,China,4/5/20,2
Guizhou,China,4/6/20,2
Guizhou,China,4/7/20,2
Guizhou,China,4/8/20,2
Guizhou,China,4/9/20,2
Guizhou,China,4/10/20,2
Guizhou,China,4/11/20,2
Guizhou,China,4/12/20,2
Guizhou,China,4/13/20,2
Guizhou,China,4/14/20,2
Guizhou,China,4/15/20,2
Guizhou,China,4/16/20,2
Guizhou,China,4/17/20,2
Guizhou,China,4/18/20,2
Guizhou,China,4/19/20,2
Guizhou,China,4/20/20,2
Guizhou,China,4/21/20,2
Guizhou,China,4/22/20,2
Guizhou,China,4/23/20,2
Guizhou,China,4/24/20,2
Guizhou,China,4/25/20,2
Guizhou,China,4/26/20,2
Guizhou,China,4/27/20,2
Guizhou,China,4/28/20,2
Guizhou,China,4/29/20,2
Guizhou,China,4/30/20,2
Guizhou,China,5/1/20,2
Guizhou,China,5/2/20,2
Guizhou,China,5/3/20,2
Guizhou,China,5/4/20,2
Guizhou,China,5/5/20,2
Guizhou,China,5/6/20,2
Guizhou,China,5/7/20,2
Guizhou,China,5/8/20,2
Guizhou,China,5/9/20,2
Guizhou,China,5/10/20,2
Guizhou,China,5/11/20,2
Guizhou,China,5/12/20,2
Guizhou,China,5/13/20,2
Guizhou,China,5/14/20,2
Guizhou,China,5/15/20,2
Guizhou,China,5/16/20,2
Guizhou,China,5/17/20,2
Guizhou,China,5/18/20,2
Guizhou,China,5/19/20,2
Guizhou,China,5/20/20,2
Guizhou,China,5/21/20,2
Guizhou,China,5/22/20,2
Guizhou,China,5/23/20,2
Guizhou,China,5/24/20,2
Guizhou,China,5/25/20,2
Guizhou,China,5/26/20,2
Guizhou,China,5/27/20,2
Guizhou,China,5/28/20,2
Guizhou,China,5/29/20,2
Guizhou,China,5/30/20,2
Guizhou,China,5/31/20,2
Guizhou,China,6/1/20,2
Guizhou,China,6/2/20,2
Guizhou,China,6/3/20,2
Guizhou,China,6/4/20,2
Guizhou,China,6/5/20,2
Guizhou,China,6/6/20,2
Guizhou,China,6/7/20,2
Guizhou,China,6/8/20,2
Guizhou,China,6/9/20,2
Guizhou,China,6/10/20,2
Guizhou,China,6/11/20,2
Guizhou,China,6/12/20,2
Guizhou,China,6/13/20,2
Guizhou,China,6/14/20,2
Guizhou,China,6/15/20,2
Guizhou,China,6/16/20,2
Guizhou,China,6/17/20,2
Guizhou,China,6/18/20,2
Guizhou,China,6/19/20,2
Guizhou,China,6/20/20,2
Guizhou,China,6/21/20,2
Guizhou,China,6/22/20,2
Guizhou,China,6/23/20,2
Guizhou,China,6/24/20,2
Guizhou,China,6/25/20,2
Guizhou,China,6/26/20,2
Guizhou,China,6/27/20,2
Guizhou,China,6/28/20,2
Guizhou,China,6/29/20,2
Guizhou,China,6/30/20,2
Guizhou,China,7/1/20,2
Guizhou,China,7/2/20,2
Guizhou,China,7/3/20,2
Guizhou,China,7/4/20,2
Guizhou,China,7/5/20,2
Guizhou,China,7/6/20,2
Guizhou,China,7/7/20,2
Guizhou,China,7/8/20,2
Guizhou,China,7/9/20,2
Guizhou,China,7/10/20,2
Guizhou,China,7/11/20,2
Guizhou,China,7/12/20,2
Guizhou,China,7/13/20,2
Guizhou,China,7/14/20,2
Guizhou,China,7/15/20,2
Guizhou,China,7/16/20,2
Hainan,China,1/22/20,0
Hainan,China,1/23/20,0
Hainan,China,1/24/20,0
Hainan,China,1/25/20,0
Hainan,China,1/26/20,0
Hainan,China,1/27/20,1
Hainan,China,1/28/20,1
Hainan,China,1/29/20,1
Hainan,China,1/30/20,1
Hainan,China,1/31/20,1
Hainan,China,2/1/20,1
Hainan,China,2/2/20,1
Hainan,China,2/3/20,1
Hainan,China,2/4/20,1
Hainan,China,2/5/20,1
Hainan,China,2/6/20,1
Hainan,China,2/7/20,2
Hainan,China,2/8/20,2
Hainan,China,2/9/20,3
Hainan,China,2/10/20,3
Hainan,China,2/11/20,3
Hainan,China,2/12/20,4
Hainan,China,2/13/20,4
Hainan,China,2/14/20,4
Hainan,China,2/15/20,4
Hainan,China,2/16/20,4
Hainan,China,2/17/20,4
Hainan,China,2/18/20,4
Hainan,China,2/19/20,4
Hainan,China,2/20/20,4
Hainan,China,2/21/20,4
Hainan,China,2/22/20,4
